File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\AsignaturasController.cs	24	_StockLabWeb.Controllers.AsignaturasController.Post$StockLabWeb.Models.AsignaturaInputModel$	0	13
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\AsignaturasController.cs	61	_StockLabWeb.Controllers.AsignaturasController.MapearAsignatura$StockLabWeb.Models.AsignaturaInputModel$	0	2
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\InsumoController.cs	22	_StockLabWeb.Controllers.InsumoController.Post$StockLabWeb.Models.InsumoInputModel$	0	4
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\InsumoController.cs	55	_StockLabWeb.Controllers.InsumoController.Get$string$	0	13
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\InsumoController.cs	79	_StockLabWeb.Controllers.InsumoController.Put$string$	0	13
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\InsumoController.cs	105	_StockLabWeb.Controllers.InsumoController.MapearInsumo$StockLabWeb.Models.InsumoInputModel$	0	2
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\LoginController.cs	39	_StockLabWeb.Controllers.LoginController.Login$StockLabWeb.Models.UsuarioInputModel$	0	4
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\PeriodoAcademicoController.cs	24	_StockLabWeb.Controllers.PeriodoAcademicoController.Post$StockLabWeb.Models.PeriodoAcademicoInputModel$	0	4
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\PeriodoAcademicoController.cs	40	_StockLabWeb.Controllers.PeriodoAcademicoController.MapearPeriodo$StockLabWeb.Models.PeriodoAcademicoInputModel$	0	2
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\PersonaController.cs	22	_StockLabWeb.Controllers.PersonaController.Post$StockLabWeb.Models.PersonaInputModel$	0	8
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\PersonaController.cs	65	_StockLabWeb.Controllers.PersonaController.Get$string$	0	8
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\PersonaController.cs	86	_StockLabWeb.Controllers.PersonaController.MapearPersona$StockLabWeb.Models.PersonaInputModel$	0	2
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Program.cs	13	_StockLabWeb.Program.Main$string$$$	0	3
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Servicios\ServiciosJwt.cs	27	_StockLabWeb.Servicios.ServiciosJwt.GenerarToken$Entity.Usuario$	0	4
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\SolicitudController.cs	74	_StockLabWeb.Controllers.SolicitudController.Get$string$	0	8
C:\Users\norma\Desktop\StockLab3.0-main-main\StockLabWeb\Controllers\SolicitudController.cs	129	_StockLabWeb.Controllers.SolicitudController.MapearSolicitud$StockLabWeb.Models.SolicitudInputModel$	0	2
